dept,via,arr,vol
Victoria,VictoriaOffshoreSA,Callao,24
Victoria,VictoriaOffshoreMX,Honolulu,20
Victoria,VictoriaOffshoreSA,Valparaiso,20
Victoria,VictoriaOffshoreUS,San Francisco,14
Victoria,VictoriaOffshoreAS,Shanghai,11
Victoria,VictoriaOffshoreAU,Sydney,10
Victoria,VictoriaOffshoreAU,Melbourne,9
Victoria,VictoriaOffshoreSA,Iquique,4
Victoria,VictoriaOffshoreMX,Guaymas,3
Victoria,VictoriaOffshoreAU,Dunedin,3
Victoria,VictoriaOffshoreAU,Batavia,1
Victoria,VictoriaOffshoreSA,Coquimbo,1
Victoria,VictoriaOffshoreAS,Hong Kong,1
Victoria,VictoriaOffshoreAS,Yokohama,1
Victoria,VictoriaOffshoreSA,Lambayaque,1
Victoria,VictoriaOffshoreSA,Tahiti,1
Victoria,VictoriaOffshoreSA,Arica,1
